STUDY_ID	SAMPLE_ID	ERBB2	ESR1
brca_tcga	TCGA-AC-A23E-01	6296.2397	4663.1
brca_tcga	TCGA-AC-A23H-01	90019.1921	269.8802
brca_tcga	TCGA-BH-A204-01	3620.2474	38535.24
brca_tcga	TCGA-BH-A208-01	4613.1387	173.4394
brca_tcga	TCGA-BH-A209-01	1946.4339	7105.6526
brca_tcga	TCGA-D8-A1X9-01	12363.4754	21229.0376
brca_tcga	TCGA-D8-A1Y2-01	8336.1176	10678.1696
brca_tcga	TCGA-D8-A1Y3-01	6151.3215	4450.3353
brca_tcga	TCGA-E2-A1LI-01	5524.6394	87.4399
brca_tcga	TCGA-E2-A1LS-01	1539.039	59.5596
brca_tcga	TCGA-E9-A1N3-01	6572.7077	38301.9118
brca_tcga	TCGA-E9-A1NC-01	3748.0846	33.1312
brca_tcga	TCGA-E9-A1RB-01	2017.1696	7060.0937
brca_tcga	TCGA-E9-A1RC-01	5702.1329	32386.4087
brca_tcga	TCGA-E9-A1RD-01	6268.9908	37234.1931
brca_tcga	TCGA-E9-A1RE-01	11743.874	36288.2147
brca_tcga	TCGA-E9-A1RF-01	11120.6302	9033.1015
brca_tcga	TCGA-E9-A226-01	3230.9439	10208.5631
brca_tcga	TCGA-E9-A227-01	4731.1794	7749.059
brca_tcga	TCGA-E9-A228-01	30632.287	30248.5054
brca_tcga	TCGA-E9-A229-01	6606.3771	4044.53
brca_tcga	TCGA-E9-A22A-01	2344.5428	3053.0973
brca_tcga	TCGA-E9-A22B-01	6190.837	12802.3175
brca_tcga	TCGA-E9-A22D-01	36475.3803	5784.4805
brca_tcga	TCGA-E9-A22E-01	1968.9255	9829.2774
brca_tcga	TCGA-E9-A22G-01	3117.4687	118.4794
brca_tcga	TCGA-E9-A22H-01	5451.4279	17606.2535
brca_tcga	TCGA-A2-A25B-01	2917.9551	3445.7987
brca_tcga	TCGA-A2-A25C-01	7609.6162	3653.9479
brca_tcga	TCGA-A2-A25E-01	7226.1006	8613.2075
brca_tcga	TCGA-A2-A25F-01	1018.2848	141.6431
brca_tcga	TCGA-A7-A26E-01	8203.0794	24318.8213
brca_tcga	TCGA-A7-A26F-01	3919.3798	112.1049
